"ID","Player","Team","Position","RkOv","Status","Age","Opponent","Score","Ros","+/-"
"*05l9f*","Landon Knack","LAD","SP","749","FA","29","CIN Wed 10:10PM","39.21","6%","0%"
"*03yx9*","Elieser Hernandez","ATL","RP","752","FA","31","TB Wed 7:15PM","39.07","0%","0%"
"*02buh*","Scott Barlow","KC","RP","754","FA","33","ARI Wed 7:40PM","39.02","4%","0%"
"*03nqc*","Jose Suarez","ATH","RP","755","FA","28","TOR 0<br/>@ATH 2 F","39.01","3%","0%"
"*06plg*","Jose Cabrera","ARI","SP","765","FA","24","@KC Wed 7:40PM","38.58","7%","-1%"
"*05jpk*","Joe Boyle","TB","SP","790","FA","27","@ATL Wed 7:15PM","37.2","24%","0%"
"*041rq*","Brenan Hanifee","DET","RP","798","FA","28","MIN 2<br/>@DET 7","36.75","2%","0%"
"*05mrv*","Eric Orze","MIN","RP","800","FA","29","MIN 2<br/>@DET 7","36.68","2%","0%"
"*05uc7*","Noah Schultz","CHW","SP","805","FA","23","PIT Wed 7:40PM","36.36","52%","0%"
"*051as*","Cody Laweryson","MIN","RP","809","FA","28","MIN 2<br/>@DET 7","36.08","1%","0%"
"*05tzo*","J.R. Ritchie","ATL","SP,RP","814","FA","23","TB Wed 7:15PM","35.89","42%","0%"
"*05mrp*","Marco Raya","MIN","SP,RP","816","FA","24","MIN 2<br/>@DET 7","35.88","5%","0%"
"*04pta*","Joey Gerber","NYM","RP","821","FA","29","@MIA Wed 6:40PM","35.51","1%","0%"
"*04efc*","Tyler Freeman","COL","2B,INF,OF","830","FA","27","@NYY Wed 7:05PM","34.92","13%","0%"
"*04pxq*","Gus Varland","WSH","RP","831","FA","29","WSH 2<br/>@SD 3","34.83","3%","0%"
"*03amq*","German Marquez","MIN","SP","833","FA","31","MIN 2<br/>@DET 7","34.6","7%","0%"
"*066qr*","Tyler Uberstine","ATL","SP","841","FA","27","TB Wed 7:15PM","34.25","2%","0%"
"*05rgq*","Kendry Rojas","MIN","SP,RP","843","FA","23","MIN 2<br/>@DET 7","34.15","19%","0%"
