"ID","Player","Team","Position","RkOv","Status","Age","Opponent","Score","Ros","+/-"
"*01c5l*","Yu Darvish","SD","SP","3393","FA","40","WSH 2<br/>@SD 3","0","4%","0%"
"*04pmv*","Brennen Davis","SEA","OF","3420","FA","26","TEX 1<br/>@SEA 3","0","7%","0%"
"*06hv8*","Logan Evans","SEA","SP","3980","FA","25","TEX 1<br/>@SEA 3","0","12%","0%"
"*05yav*","David Festa","MIN","SP","4097","FA","26","MIN 2<br/>@DET 6","0","15%","0%"
"*0421k*","Bowden Francis","TOR","SP","4232","FA","30","TOR 0<br/>@ATH 2 F","0","8%","0%"
"*02z0e*","Yimi Garcia","TOR","RP","4432","FA","36","TOR 0<br/>@ATH 2 F","0","8%","0%"
"*03dpt*","Reed Garrett","NYM","RP","4445","FA","33","@MIA Wed 6:40PM","0","3%","0%"
"*041v6*","Tony Gonsolin","KC","SP","4595","FA","32","ARI Wed 7:40PM","0","6%","0%"
"*03zbj*","Brusdar Graterol","LAD","RP","4713","FA","28","CIN Wed 10:10PM","0","6%","0%"
"*02bxv*","Jon Gray","(N/A)","RP","4724","FA","34","","0","1%","0%"
"*04pn3*","Josiah Gray","WSH","SP","4725","FA","28","WSH 2<br/>@SD 3","0","13%","0%"
"*04tzu*","Ronny Henriquez","MIA","RP","5067","FA","26","NYM Wed 6:40PM","0","20%","0%"
"*0516h*","DJ Herz","WSH","SP","5189","FA","25","WSH 2<br/>@SD 3","0","20%","0%"
"*051aa*","Porter Hodge","CHC","RP","5258","FA","25","@MIL Wed 7:40PM","0","7%","0%"
"*05156*","Bryan Hoeing","SD","RP","5263","FA","29","WSH 2<br/>@SD 3","0","1%","0%"
"*04pmd*","Gunnar Hoglund","ATH","SP","5269","FA","26","TOR 0<br/>@ATH 2 F","0","8%","0%"
"*05mrs*","Bailey Horn","DET","RP","5317","FA","28","MIN 2<br/>@DET 6","0","0%","0%"
"*03djk*","Tanner Houck","BOS","SP","5336","FA","30","LAA Wed 6:45PM","0","15%","0%"
"*03as0*","Joe Jimenez","ATL","RP","5543","FA","31","TB Wed 7:15PM","0","4%","0%"
"*041ai*","Gavin Lux","TB","2B,INF,OF","6268","FA","28","@ATL Wed 7:15PM","0","20%","0%"
"*0512c*","Alec Marsh","KC","SP","6437","FA","28","ARI Wed 7:40PM","0","4%","0%"
"*060gg*","Adam Mazur","MIA","SP","6600","FA","25","NYM Wed 6:40PM","0","5%","0%"
"*04pw3*","James McArthur","KC","RP","6603","FA","29","ARI Wed 7:40PM","0","2%","0%"
"*04ywk*","Tylor Megill","NYM","SP","6744","FA","31","@MIA Wed 6:40PM","0","10%","0%"
"*05ita*","Cristian Mena","ARI","RP","6784","FA","23","@KC Wed 7:40PM","0","5%","0%"
"*01sbv*","Shelby Miller","CHC","RP","6932","FA","35","@MIL Wed 7:40PM","0","4%","0%"
"*02yg3*","Frankie Montas","(N/A)","SP","7012","FA","33","","0","2%","0%"
"*069xv*","Christian Montes De Oca","(N/A)","RP","7032","FA","27","","0","0%","0%"
"*02t8m*","Tom Murphy","(N/A)","C","7214","FA","35","","0","0%","0%"
"*05r0y*","Vinny Nittoli","(N/A)","RP","7335","FA","35","","0","0%","0%"
"*04yrs*","Jhonkensy Noel","(N/A)","OF","7345","FA","25","","0","3%","0%"
"*05ylk*","Pierson Ohl","COL","SP,RP","7454","FA","26","@NYY Wed 7:05PM","0","1%","0%"
"*04px8*","Reese Olson","DET","SP","7485","FA","27","MIN 2<br/>@DET 6","0","32%","0%"
"*05xsq*","Luis Ortiz","CLE","SP","7532","FA","27","@BAL Wed 6:35PM","0","1%","0%"
"*0512m*","Ryan Pepiot","TB","SP","7789","FA","29","@ATL Wed 7:15PM","0","60%","0%"
"*060ui*","RJ Petit","COL","RP","7909","FA","26","@NYY Wed 7:05PM","0","1%","0%"
"*050vn*","Quinn Priester","MIL","SP,RP","8091","FA","25","CHC Wed 7:40PM","0","45%","0%"
"*03yso*","A.J. Puk","ARI","RP","8112","FA","31","@KC Wed 7:40PM","0","15%","0%"
"*01tt9*","Anthony Rendon","LAA","3B,INF","8301","FA","36","@BOS Wed 6:45PM","0","1%","0%"
"*05w9g*","Randy Rodriguez","SF","RP","8580","FA","27","STL 6<br/>@SF 1","0","17%","0%"
"*04w4e*","Johan Rojas","PHI","OF","8621","FA","26","HOU Wed 6:40PM","0","2%","0%"
"*0514i*","Andrew Saalfrank","ARI","RP","8779","FA","29","@KC Wed 7:40PM","0","3%","0%"
"*02w16*","Anthony Santander","TOR","OF,UT","8930","FA","31","TOR 0<br/>@ATH 2 F","0","31%","0%"
"*04ee7*","Clarke Schmidt","NYY","SP","8998","FA","30","COL Wed 7:05PM","0","32%","0%"
"*05tq1*","Spencer Schwellenbach","ATL","SP","9027","FA","26","TB Wed 7:15PM","0","66%","-1%"
"*04q7i*","Colin Selby","BAL","RP","9059","FA","28","CLE Wed 6:35PM","0","1%","0%"
"*02bq7*","Robert Stephenson","LAA","RP","9413","FA","33","@BOS Wed 6:45PM","0","7%","0%"
"*05mrx*","Gavin Stone","LAD","SP","9445","FA","27","CIN Wed 10:10PM","0","22%","0%"
"*05tuw*","Trey Sweeney","DET","SS,INF","9542","FA","26","MIN 2<br/>@DET 6","0","6%","0%"
"*05yb1*","Drew Thorpe","CHW","SP","9713","FA","25","PIT Wed 7:40PM","0","24%","0%"
"*04tji*","Edwin Uceta","TB","RP","9894","FA","28","@ATL Wed 7:15PM","0","26%","0%"
"*04ok0*","Mike Vasil","CHW","SP,RP","10012","FA","26","PIT Wed 7:40PM","0","5%","0%"
"*03d7g*","Alex Verdugo","(N/A)","OF","10077","FA","30","","0","1%","0%"
"*05rk4*","Brandon Walter","HOU","SP","10201","FA","30","@PHI Wed 6:40PM","0","6%","0%"
"*041pr*","Joey Wentz","ATL","SP,RP","10282","FA","28","TB Wed 7:15PM","0","3%","0%"
"*05gsc*","Jordan Westburg","BAL","2B,3B,INF","10298","FA","27","CLE Wed 6:35PM","0","51%","0%"
"*02hq8*","Rowan Wick","SF","RP","10340","FA","33","STL 6<br/>@SF 1","0","0%","0%"
"*0310m*","Rob Zastryzny","MIL","RP","10566","FA","34","CHC Wed 7:40PM","0","1%","0%"
